Country,Revenue,Orders,Customers
United Kingdom,9001744.094,18019,3920
Netherlands,285446.34,94,9
EIRE,283140.52,288,3
Germany,228678.4,457,94
France,209625.37,392,87
Australia,138453.81,57,9
Spain,61558.56,90,30
Switzerland,57067.6,54,21
Belgium,41196.34,98,25
Sweden,38367.83,36,8
Japan,37416.369999999995,19,8
Norway,36165.44,36,10
Portugal,33683.05,58,19
Finland,22546.08,41,12
Singapore,21279.29,7,1
Channel Islands,20440.54,26,9
Denmark,18955.34,18,9
Italy,17483.24,38,14
Hong Kong,15483.0,11,0
Cyprus,13502.85,16,8
Austria,10198.68,17,11
Israel,8129.41,8,3
Poland,7334.65,19,6
Greece,4760.52,5,4
Unspecified,4740.94,13,4
Iceland,4310.0,7,1
Canada,3666.38,6,4
USA,3580.39,5,4
Malta,2725.59,5,2
United Arab Emirates,1902.28,3,2
Lebanon,1693.88,1,1
Lithuania,1661.06,4,1
European Community,1300.25,4,1
Brazil,1143.6,1,1
RSA,1002.3100000000001,1,1
Czech Republic,826.74,2,1
Bahrain,754.14,3,2
Saudi Arabia,145.92,1,1
