YearMonth,Revenue,Orders,Customers,Units,AOV,RevenueGrowthPct
2010-12,821452.73,1559,885,358019,526.9100256574727,
2011-01,689811.61,1086,741,387099,635.1856445672191,-16.025404164156832
2011-02,522545.56,1100,758,282934,475.0414181818182,-24.24807694958918
2011-03,716215.26,1454,974,376599,492.58270976616234,37.06273956284309
2011-04,536968.491,1246,856,307953,430.9538451043339,-25.026940783138297
2011-05,769296.61,1681,1056,395001,457.642242712671,43.2666204617209
2011-06,760547.01,1533,991,388511,496.116771037182,-1.1373506507457498
2011-07,718076.121,1475,949,399693,486.8312684745763,-5.584255600452625
2011-08,757841.38,1361,935,421020,556.8268772961059,5.537749806332859
2011-09,1056435.192,1837,1266,569573,575.0872030484486,39.40056849363385
2011-10,1151263.73,2040,1364,621029,564.3449656862745,8.976275943673784
2011-11,1503866.78,2769,1664,751377,543.1082629107981,30.627478379780104
2011-12,637790.33,819,615,313612,778.7427716727716,-57.58997150000216
