Date,Revenue,Type
2010-12-01,821452.73,Actual
2011-01-01,689811.61,Actual
2011-02-01,522545.56,Actual
2011-03-01,716215.26,Actual
2011-04-01,536968.491,Actual
2011-05-01,769296.61,Actual
2011-06-01,760547.01,Actual
2011-07-01,718076.121,Actual
2011-08-01,757841.38,Actual
2011-09-01,1056435.192,Actual
2011-10-01,1151263.73,Actual
2011-11-01,1503866.78,Actual
2011-12-01,637790.33,Actual
2012-01-01,780277.0040387779,Forecast
2012-02-01,805949.2608420558,Forecast
2012-03-01,808924.5819460562,Forecast
